,fold,TN,FN,TP,FP,TPR,FPR,TNR,FNR,recall,acc,f1,precision_w,precision_macro,precision_micro,bsr,aucM
0,k_1,6,0,4,0,1,0,1,0,1,1,1,1,1,1,1,1
1,k_2,6,0,4,0,1,0,1,0,1,1,1,1,1,1,1,1
2,k_3,5,1,3,1,0.75,0.166666667,0.833333333,0.25,0.75,0.8,0.75,0.8,0.791666667,0.8,0.791666667,0.791666667
3,k_4,6,1,2,1,0.666666667,0.142857143,0.857142857,0.333333333,0.666666667,0.8,0.666666667,0.8,0.761904762,0.8,0.761904762,0.761904762
4,k_5,7,0,3,0,1,0,1,0,1,1,1,1,1,1,1,1
5,k_6,6,2,1,1,0.333333333,0.142857143,0.857142857,0.666666667,0.333333333,0.7,0.4,0.675,0.625,0.7,0.595238095,0.595238095
6,k_7,6,1,2,1,0.666666667,0.142857143,0.857142857,0.333333333,0.666666667,0.8,0.666666667,0.8,0.761904762,0.8,0.761904762,0.761904762
7,k_8,6,3,0,1,0,0.142857143,0.857142857,1,0,0.6,0,0.466666667,0.333333333,0.6,0.428571429,0.428571429
8,k_9,6,1,2,1,0.666666667,0.142857143,0.857142857,0.333333333,0.666666667,0.8,0.666666667,0.8,0.761904762,0.8,0.761904762,0.761904762
9,k_10,5,0,3,2,1,0.285714286,0.714285714,0,1,0.8,0.75,0.88,0.8,0.8,0.857142857,0.857142857
,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.708333333,0.83,0.69,0.822166667,0.783571429,0.83,0.795833333,0.795833333
